2018-12-14 14:53:27.423 [main] INFO  [com.itwx.environment.EnvironmentApplication:] maincid - Starting EnvironmentApplication on LAPTOP-J2F3UG0L with PID 7876 (D:\JetBrains\idea-workspace\environment\target\classes started by wangxuan in D:\JetBrains\idea-workspace\environment)
2018-12-14 14:53:27.427 [main] INFO  [com.itwx.environment.EnvironmentApplication:] maincid - No active profile set, falling back to default profiles: default
2018-12-14 14:53:28.237 [main] INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer:90] maincid - Tomcat initialized with port(s): 8601 (http)
2018-12-14 14:53:28.249 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol:173] maincid - Initializing ProtocolHandler ["http-nio-8601"]
2018-12-14 14:53:28.257 [main] INFO  [org.apache.catalina.core.StandardService:173] maincid - Starting service [Tomcat]
2018-12-14 14:53:28.257 [main] INFO  [org.apache.catalina.core.StandardEngine:173] maincid - Starting Servlet Engine: Apache Tomcat/9.0.13
2018-12-14 14:53:28.262 [main] INFO  [org.apache.catalina.core.AprLifecycleListener:173] maincid - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\java\JDK1.8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;D:\java\JDK1.8\bin;D:\java\JDK1.8\jre\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;D:\Git\cmd;D:\Mysql\bin;D:\Maven\apache-maven-3.5.4\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;D:\gradle-4.10.2\bin;D:\nodejs\;C:\Users\wangxuan\AppData\Local\Microsoft\WindowsApps;D:\nodejs\node_global;;D:\Microsoft VS Code\bin;.]
2018-12-14 14:53:28.341 [main] INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] maincid - Initializing Spring embedded WebApplicationContext
2018-12-14 14:53:28.341 [main] INFO  [org.springframework.web.context.ContextLoader:296] maincid - Root WebApplicationContext: initialization completed in 887 ms
2018-12-14 14:53:28.721 [main] INFO  [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:171] maincid - Initializing ExecutorService 'applicationTaskExecutor'
2018-12-14 14:53:28.863 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol:173] maincid - Starting ProtocolHandler ["http-nio-8601"]
2018-12-14 14:53:28.870 [main] INFO  [org.apache.tomcat.util.net.NioSelectorPool:173] maincid - Using a shared selector for servlet write/read
2018-12-14 14:53:28.880 [main] INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer:204] maincid - Tomcat started on port(s): 8601 (http) with context path ''
2018-12-14 14:53:28.882 [main] INFO  [com.itwx.environment.EnvironmentApplication:] maincid - Started EnvironmentApplication in 1.921 seconds (JVM running for 2.906)
